ID	Radius 
0	0.5
1	0.35
2	0.5
3	0.55
4	0.35
5	0.3
6	0.5
7	0.3
8	0.4
9	0.4
10	0.4
11	0.35
12	0.5
13	0.35
14	0.4
15	0.4
16	0.3
17	0.45
18	0.4
19	0.5
20	0.3
21	0.45
22	0.45
23	0.35
24	0.35
25	0.35
26	0.3
27	0.35
28	0.3
29	0.5
30	0.4
31	0.3
32	0.4
33	0.55
34	0.55
35	0.35
36	0.3
37	0.35
38	0.3
39	0.35
40	0.45
41	0.55
42	0.5
43	0.45
44	0.5
45	0.45
46	0.45
47	0.55
48	0.3
49	0.5
50	0.35
51	0.35
52	0.55
53	0.3
54	0.55
55	0.5
56	0.3
57	0.55
58	0.45
59	0.55
60	0.45
61	0.55
62	0.35
63	0.35
64	0.35
65	0.3
66	0.55
67	0.35
68	0.55
69	0.4
70	0.3
71	0.3
72	0.4
73	0.5
74	0.45
75	0.45
76	0.5
77	0.3
78	0.3
79	0.4
80	0.55
81	0.35
82	0.5
83	0.5
84	0.3
85	0.45
86	0.45
87	0.3
88	0.45
89	0.55
90	0.55
91	0.5
92	0.5
93	0.4
94	0.35
95	0.4
96	0.55
97	0.55
98	0.3
99	0.5
100	0.5
101	0.4
102	0.4
103	0.4
104	0.55
105	0.3
106	0.3
107	0.35
108	0.5
109	0.45
110	0.55
111	0.3
112	0.45
113	0.55
114	0.55
115	0.55
116	0.4
117	0.5
118	0.5
119	0.5
120	0.4
121	0.5
122	0.35
123	0.35
124	0.3
125	0.45
126	0.5
127	0.3
128	0.35
129	0.4
130	0.3
131	0.35
132	0.35
133	0.5
134	0.3
135	0.45
136	0.55
137	0.3
138	0.45
139	0.35
140	0.55
141	0.4
142	0.5
143	0.55
144	0.4
145	0.3
146	0.55
147	0.5
148	0.3
149	0.35
150	0.5
151	0.4
152	0.5
153	0.35
154	0.55
155	0.5
156	0.55
157	0.55
158	0.3
159	0.5
160	0.3
161	0.3
162	0.55
163	0.55
164	0.35
165	0.35
166	0.3
167	0.45
168	0.45
169	0.4
170	0.3
171	0.5
172	0.4
173	0.55
174	0.35
175	0.35
176	0.4
177	0.45
178	0.45
179	0.35
180	0.5
181	0.55
182	0.4
183	0.5
184	0.3
185	0.4
186	0.4
187	0.35
188	0.4
189	0.55
190	0.55
191	0.5
192	0.3
193	0.35
194	0.4
195	0.4
196	0.45
197	0.45
198	0.35
199	0.3
200	0.35
201	0.5
202	0.5
203	0.45
204	0.35
205	0.3
206	0.35
207	0.45
208	0.35
209	0.4
210	0.3
211	0.4
212	0.5
213	0.4
214	0.3
215	0.3
216	0.35
217	0.35
218	0.55
219	0.55
220	0.55
221	0.4
222	0.45
223	0.3
224	0.45
225	0.3
226	0.35
227	0.55
228	0.55
229	0.55
230	0.35
231	0.35
232	0.4
233	0.3
234	0.55
235	0.55
236	0.5
237	0.55
238	0.5
239	0.5
240	0.55
241	0.5
242	0.45
243	0.3
244	0.4
245	0.4
246	0.4
247	0.4
248	0.55
249	0.45
250	0.5
251	0.45
252	0.55
253	0.45
254	0.3
255	0.3
256	0.3
257	0.5
258	0.4
259	0.55
260	0.45
261	0.4
262	0.4
263	0.5
264	0.3
265	0.35
266	0.55
267	0.55
268	0.5
269	0.3
270	0.45
271	0.35
272	0.35
273	0.3
274	0.45
275	0.45
276	0.35
277	0.3
278	0.35
279	0.35
280	0.3
281	0.35
282	0.3
283	0.5
284	0.3
285	0.55
286	0.45
287	0.45
288	0.3
289	0.55
290	0.3
291	0.55
292	0.4
293	0.35
294	0.3
295	0.55
296	0.45
297	0.4
298	0.55
299	0.35
300	0.3
301	0.3
302	0.3
303	0.3
304	0.4
305	0.45
306	0.4
307	0.3
308	0.4
309	0.35
310	0.3
311	0.5
312	0.3
313	0.3
314	0.3
315	0.5
316	0.45
317	0.35
318	0.3
319	0.4
320	0.55
321	0.45
322	0.55
323	0.4
324	0.4
325	0.4
326	0.55
327	0.4
328	0.35
329	0.4
330	0.3
331	0.45
332	0.3
333	0.45
334	0.5
335	0.3
336	0.55
337	0.3
338	0.5
339	0.55
340	0.3
341	0.45
342	0.3
343	0.3
344	0.3
345	0.5
346	0.35
347	0.35
348	0.45
349	0.35
350	0.55
351	0.45
352	0.3
353	0.5
354	0.4
355	0.35
356	0.55
357	0.5
358	0.35
359	0.3
360	0.3
361	0.5
362	0.35
363	0.55
364	0.5
365	0.5
366	0.5
367	0.55
368	0.35
369	0.35
370	0.3
371	0.45
372	0.55
373	0.55
374	0.4
375	0.55
376	0.55
377	0.45
378	0.4
379	0.3
380	0.4
381	0.5
382	0.45
383	0.3
384	0.55
385	0.4
386	0.45
387	0.4
388	0.4
389	0.55
390	0.55
391	0.55
392	0.55
393	0.3
394	0.3
395	0.3
396	0.45
397	0.55
398	0.3
399	0.45
400	0.35
401	0.35
402	0.45
403	0.4
404	0.3
405	0.3
406	0.4
