ID	Radius 
0	0.4
1	0.3
2	0.35
3	0.35
4	0.3
5	0.55
6	0.55
7	0.35
8	0.35
9	0.55
10	0.55
11	0.3
12	0.55
13	0.5
14	0.4
15	0.5
16	0.4
17	0.4
18	0.35
19	0.4
20	0.4
21	0.5
22	0.5
23	0.35
24	0.55
25	0.55
26	0.5
27	0.3
28	0.4
29	0.5
30	0.35
31	0.5
32	0.5
33	0.35
34	0.35
35	0.35
36	0.3
37	0.4
38	0.3
39	0.3
40	0.55
41	0.3
42	0.3
43	0.5
44	0.5
45	0.4
46	0.3
47	0.35
48	0.55
49	0.3
50	0.35
51	0.35
52	0.35
53	0.5
54	0.4
55	0.5
56	0.5
57	0.55
58	0.5
59	0.4
60	0.35
61	0.4
62	0.4
63	0.4
64	0.35
65	0.3
66	0.55
67	0.4
68	0.35
69	0.35
70	0.35
71	0.55
72	0.35
73	0.3
74	0.55
75	0.35
76	0.5
77	0.55
78	0.35
79	0.55
80	0.35
81	0.5
82	0.35
83	0.4
84	0.5
85	0.35
86	0.4
87	0.35
88	0.4
89	0.35
90	0.3
91	0.5
92	0.35
93	0.5
94	0.35
95	0.55
96	0.35
97	0.5
98	0.35
99	0.5
100	0.3
101	0.55
102	0.3
103	0.4
104	0.3
105	0.4
106	0.3
107	0.5
108	0.35
109	0.55
110	0.5
111	0.55
112	0.3
113	0.55
114	0.55
115	0.55
116	0.4
117	0.4
118	0.3
119	0.55
120	0.55
121	0.5
122	0.3
123	0.5
124	0.35
125	0.3
126	0.3
127	0.55
128	0.3
129	0.3
130	0.5
131	0.4
132	0.4
133	0.5
134	0.5
135	0.4
136	0.5
137	0.5
138	0.55
139	0.5
140	0.3
141	0.3
142	0.4
143	0.35
144	0.55
145	0.35
146	0.3
147	0.35
148	0.3
149	0.5
150	0.4
151	0.55
152	0.3
153	0.35
154	0.4
155	0.4
156	0.55
157	0.3
158	0.3
159	0.5
160	0.35
161	0.3
162	0.3
163	0.4
164	0.4
165	0.5
166	0.4
167	0.5
168	0.5
169	0.35
170	0.4
171	0.55
172	0.55
173	0.3
174	0.55
175	0.5
176	0.35
177	0.35
178	0.35
179	0.55
180	0.35
181	0.3
182	0.3
183	0.5
184	0.4
185	0.5
186	0.4
187	0.4
188	0.55
189	0.35
190	0.3
191	0.3
192	0.55
193	0.3
194	0.55
195	0.4
196	0.5
197	0.3
198	0.4
199	0.5
200	0.55
201	0.5
202	0.35
203	0.3
204	0.3
205	0.3
206	0.3
207	0.3
208	0.55
209	0.4
210	0.55
211	0.3
212	0.5
213	0.35
214	0.55
215	0.3
216	0.35
217	0.3
218	0.5
219	0.5
220	0.3
221	0.35
222	0.35
223	0.35
