ID	Radius 
0	0.55
1	0.4
2	0.35
3	0.3
4	0.3
5	0.4
6	0.4
7	0.5
8	0.4
9	0.5
10	0.55
11	0.55
12	0.35
13	0.55
14	0.5
15	0.3
16	0.55
17	0.5
18	0.4
19	0.4
20	0.35
21	0.4
22	0.4
23	0.55
24	0.3
25	0.55
26	0.4
27	0.55
28	0.55
29	0.4
30	0.3
31	0.5
32	0.5
33	0.5
34	0.35
35	0.35
36	0.35
37	0.5
38	0.4
39	0.55
40	0.5
41	0.35
42	0.4
43	0.55
44	0.5
45	0.5
46	0.3
47	0.55
48	0.5
49	0.5
50	0.35
51	0.55
52	0.3
53	0.5
54	0.55
55	0.55
56	0.3
57	0.5
58	0.4
59	0.55
60	0.35
61	0.5
62	0.35
63	0.35
64	0.3
65	0.3
66	0.5
67	0.4
68	0.35
69	0.5
70	0.4
71	0.3
72	0.4
73	0.35
74	0.5
75	0.5
76	0.4
77	0.3
78	0.4
79	0.55
80	0.3
81	0.3
82	0.5
83	0.35
84	0.5
85	0.5
86	0.5
87	0.55
88	0.3
89	0.5
90	0.3
91	0.35
92	0.55
93	0.55
94	0.35
95	0.5
96	0.3
97	0.5
98	0.55
99	0.3
100	0.5
101	0.55
102	0.35
103	0.3
104	0.5
105	0.3
106	0.55
107	0.4
108	0.4
109	0.5
110	0.4
111	0.35
112	0.35
113	0.55
114	0.4
115	0.3
116	0.35
117	0.55
118	0.4
119	0.35
120	0.3
121	0.35
122	0.5
123	0.5
124	0.55
125	0.3
126	0.55
127	0.55
128	0.55
129	0.4
130	0.4
131	0.5
132	0.55
133	0.35
134	0.3
135	0.55
136	0.35
137	0.5
138	0.5
139	0.3
140	0.3
141	0.3
142	0.4
143	0.4
144	0.3
145	0.35
146	0.35
147	0.4
148	0.35
149	0.3
150	0.55
151	0.55
152	0.55
153	0.4
154	0.4
155	0.4
156	0.35
157	0.4
158	0.5
159	0.35
160	0.35
161	0.35
162	0.55
163	0.35
164	0.5
165	0.4
166	0.3
167	0.35
168	0.4
169	0.35
170	0.5
171	0.55
172	0.35
173	0.5
174	0.55
175	0.35
176	0.4
177	0.3
178	0.55
179	0.55
180	0.55
181	0.55
182	0.35
183	0.4
184	0.35
185	0.4
186	0.5
187	0.5
188	0.55
189	0.5
190	0.3
191	0.5
192	0.55
193	0.55
