ID	Radius	FOV	Max_Speed	Max_Rotation	Max_Acceleration	Max_Angular_Acceleration	Frame_Number	Start_Location	Destination	Destination2	Obstruction_X	Obstruction_Y
1	0	5	0.4	180	6	90	1	2	1	0	-1	-1
6	0.05	5	0.3	180	6	90	5	4	2	0	-1	-1
7	0	5	0.5	180	6	90	5	4	2	0	-1	-1
8	-0.1	5	0.5	180	6	90	10	4	2	0	-1	-1
9	0.1	5	0.55	180	6	90	10	4	2	0	-1	-1
21	0.1	5	0.6	180	6	90	10	5	2	0	-1	-1
22	-0.05	5	0.65	180	6	90	15	5	2	0	-1	-1
23	-0.15	5	0.4	180	6	90	15	5	2	0	-1	-1
24	0.05	5	0.3	180	6	90	15	5	2	0	-1	-1
25	0	5	0.5	180	6	90	15	5	2	0	-1	-1
26	-0.1	5	0.5	180	6	90	20	5	2	0	-1	-1
27	0.1	5	0.55	180	6	90	20	5	2	0	-1	-1
28	-0.05	5	0.6	180	6	90	20	5	2	0	-1	-1
29	-0.15	5	0.65	180	6	90	20	5	2	0	-1	-1
30	0.05	5	0.4	180	6	90	20	5	2	0	-1	-1
35	-0.15	5	0.3	180	6	90	5	3	2	0	-1	-1
36	0.05	5	0.5	180	6	90	5	3	2	0	-1	-1
37	0	5	0.5	180	6	90	10	3	2	0	-1	-1
38	-0.1	5	0.55	180	6	90	10	3	2	0	-1	-1
39	0.1	5	0.6	180	6	90	10	3	2	0	-1	-1
