ID	Radius	FOV	Max_Speed	Max_Rotation	Max_Acceleration	Max_Angular_Acceleration	Frame_Number	Start_Location	Destination
1	0	5	2.4	180	6	90	1	1	5
2	-0.1	5	2.3	180	6	90	1	3	4
3	0.1	5	2.5	180	6	90	1	4	3
4	-0.05	5	2.5	180	6	90	1	5	1
5	-0.15	5	2.55	180	6	90	1	3	1
6	0.05	5	2.6	180	6	90	1	4	5
7	0	5	2.65	180	6	90	1	5	4
8	-0.1	5	2.4	180	6	90	15	1	3
9	0.1	5	2.3	180	6	90	15	4	3
10	-0.05	5	2.5	180	6	90	15	5	1
11	-0.15	5	2.5	180	6	90	15	1	5
12	0.05	5	2.55	180	6	90	15	3	4
13	0	5	2.6	180	6	90	15	7	1
14	-0.1	5	2.65	180	6	90	15	6	8
15	0.1	5	2.4	180	6	90	30	8	5
16	-0.05	5	2.3	180	6	90	30	2	6
17	-0.15	5	2.5	180	6	90	30	1	2
18	0.05	5	2.5	180	6	90	30	3	6
19	0	5	2.55	180	6	90	30	4	7
20	-0.1	5	2.6	180	6	90	30	5	8
21	0.1	5	2.65	180	6	90	30	1	5
22	-0.05	5	2.4	180	6	90	45	3	4
23	-0.15	5	2.3	180	6	90	45	4	3
24	0.05	5	2.5	180	6	90	45	5	1
25	0	5	2.5	180	6	90	45	3	1
26	-0.1	5	2.55	180	6	90	45	4	5
27	0.1	5	2.6	180	6	90	45	5	4
28	-0.05	5	2.65	180	6	90	45	1	3
29	-0.15	5	2.4	180	6	90	60	4	3
30	0.05	5	2.3	180	6	90	60	5	1
31	0	5	2.5	180	6	90	60	1	5
32	-0.1	5	2.5	180	6	90	60	3	4
33	0.1	5	2.55	180	6	90	60	7	1
34	-0.05	5	2.6	180	6	90	60	6	8
35	-0.15	5	2.65	180	6	90	60	8	5
36	0.05	5	2.4	180	6	90	75	2	6
37	0	5	2.3	180	6	90	78	1	2
38	-0.1	5	2.5	180	6	90	90	3	6
39	0.1	5	2.5	180	6	90	90	4	7
40	0	5	2.55	180	6	90	93	5	8
41	-0.1	5	2.6	180	6	90	96	1	5
42	0.1	5	2.65	180	6	90	96	3	4
43	-0.05	5	2.4	180	6	90	102	4	3
44	-0.15	5	2.3	180	6	90	105	5	1
45	0.05	5	2.5	180	6	90	105	3	1
46	0	5	2.5	180	6	90	105	4	5
47	-0.1	5	2.55	180	6	90	114	5	4
48	0.1	5	2.6	180	6	90	114	1	3
49	-0.05	5	2.65	180	6	90	114	4	3
50	-0.15	5	2.4	180	6	90	117	5	1
51	0.05	5	2.3	180	6	90	123	1	5
52	0	5	2.5	180	6	90	123	3	4
53	-0.1	5	2.5	180	6	90	126	7	1
54	0.1	5	2.55	180	6	90	126	6	8
55	-0.05	5	2.6	180	6	90	126	8	5
56	-0.15	5	2.65	180	6	90	126	2	6
57	0.05	5	2.4	180	6	90	126	1	2
58	0	5	2.3	180	6	90	132	3	6
59	-0.1	5	2.5	180	6	90	132	4	7
60	0.1	5	2.5	180	6	90	132	5	8
61	-0.05	5	2.55	180	6	90	132	1	5
62	-0.15	5	2.6	180	6	90	132	3	4
63	0.05	5	2.65	180	6	90	138	4	3
