ID	Radius 
0	0.30000000000000004
1	0.35
2	0.4
3	0.5
4	0.5
5	0.4
6	0.35
7	0.35
8	0.55
9	0.4
10	0.45
11	0.35
12	0.45
13	0.4
14	0.4
15	0.45
16	0.55
17	0.5
18	0.4
19	0.55
20	0.35
21	0.4
22	0.30000000000000004
23	0.45
24	0.30000000000000004
25	0.5
26	0.55
27	0.5
28	0.55
29	0.30000000000000004
30	0.5
31	0.4
32	0.4
33	0.35
34	0.4
35	0.30000000000000004
36	0.35
37	0.5
38	0.30000000000000004
39	0.5
40	0.30000000000000004
41	0.30000000000000004
42	0.55
43	0.5
44	0.30000000000000004
45	0.30000000000000004
46	0.5
47	0.4
48	0.4
49	0.55
