ID	Radius	FOV	Max_Speed	Max_Rotation	Max_Acceleration	Max_Angular_Acceleration	Frame_Number	Start_Location	Destination
1	0	5	0.7	180	6	90	2	1	12
2	0.1	5	0.8	180	6	90	4	6	12
3	0.05	5	0.9	180	6	90	6	1	13
4	0.1	5	0.8	180	6	90	8	7	13
5	-0.05	5	0.8	180	6	90	10	4	1
6	0	5	0.7	180	6	90	12	3	1
7	-0.05	5	0.8	180	6	90	14	2	1
8	0	5	0.7	180	6	90	16	4	5
9	0.1	5	0.8	180	6	90	18	7	5
10	-0.15	5	0.85	180	6	90	20	6	5
11	0.05	5	0.9	180	6	90	22	7	12
12	-0.05	5	0.8	180	6	90	24	9	12
13	-0.15	5	0.85	180	6	90	26	3	13
14	-0.1	5	0.6	180	6	90	28	10	13
15	0.1	5	0.8	180	6	90	30	5	4
16	0	5	0.7	180	6	90	32	6	4
17	0.1	5	0.8	180	6	90	34	7	4
18	0.05	5	0.9	180	6	90	36	5	8
19	0.1	5	0.8	180	6	90	38	6	8
20	-0.05	5	0.8	180	6	90	40	7	8
21	0	5	0.7	180	6	90	42	5	11
22	-0.05	5	0.8	180	6	90	44	9	11
23	0	5	0.7	180	6	90	46	10	11
24	0.1	5	0.8	180	6	90	48	5	12
25	-0.15	5	0.85	180	6	90	50	9	12
26	0.05	5	0.9	180	6	90	52	6	13
27	-0.05	5	0.8	180	6	90	54	5	13
28	-0.15	5	0.85	180	6	90	56	7	1
29	-0.1	5	0.6	180	6	90	58	6	1
30	0.1	5	0.8	180	6	90	60	7	5
31	0	5	0.7	180	6	90	62	6	5
32	0.1	5	0.8	180	6	90	64	6	5
33	0.05	5	0.9	180	6	90	66	11	12
34	0.1	5	0.8	180	6	90	68	10	12
35	-0.05	5	0.8	180	6	90	70	11	1
36	0	5	0.7	180	6	90	72	7	1
37	-0.05	5	0.8	180	6	90	74	6	1
38	0	5	0.7	180	6	90	76	11	5
39	0.1	5	0.8	180	6	90	78	10	5
40	-0.15	5	0.85	180	6	90	80	9	5
41	0.05	5	0.9	180	6	90	82	11	12
42	-0.05	5	0.8	180	6	90	84	10	12
43	-0.15	5	0.85	180	6	90	86	12	7
44	0	5	0.7	180	6	90	300	1	12
45	0.1	5	0.8	180	6	90	302	6	12
46	0.05	5	0.9	180	6	90	304	1	13
47	0.1	5	0.8	180	6	90	306	7	13
48	-0.05	5	0.8	180	6	90	308	4	1
49	0	5	0.7	180	6	90	310	3	1
50	-0.05	5	0.8	180	6	90	312	2	1
51	0	5	0.7	180	6	90	314	4	5
52	0.1	5	0.8	180	6	90	316	7	5
53	-0.15	5	0.85	180	6	90	318	6	5
54	0.05	5	0.9	180	6	90	320	7	12
55	-0.05	5	0.8	180	6	90	322	9	12
56	-0.15	5	0.85	180	6	90	324	3	13
57	-0.1	5	0.6	180	6	90	326	10	13
58	0.1	5	0.8	180	6	90	328	5	4
59	0	5	0.7	180	6	90	330	6	4
60	0.1	5	0.8	180	6	90	332	7	4
61	0.05	5	0.9	180	6	90	334	5	8
62	0.1	5	0.8	180	6	90	336	6	8
63	-0.05	5	0.8	180	6	90	338	7	8
64	0	5	0.7	180	6	90	340	5	11
65	-0.05	5	0.8	180	6	90	342	9	11
66	0	5	0.7	180	6	90	344	10	11
67	0.1	5	0.8	180	6	90	346	5	12
68	-0.15	5	0.85	180	6	90	348	9	12
69	0.05	5	0.9	180	6	90	350	6	13
70	-0.05	5	0.8	180	6	90	352	5	13
71	-0.15	5	0.85	180	6	90	354	7	1
72	-0.1	5	0.6	180	6	90	356	6	1
73	0.1	5	0.8	180	6	90	358	7	5
74	0	5	0.7	180	6	90	360	6	5
75	0.1	5	0.8	180	6	90	362	6	5
76	0.05	5	0.9	180	6	90	364	11	12
77	0.1	5	0.8	180	6	90	366	10	12
78	-0.05	5	0.8	180	6	90	368	11	1
79	0	5	0.7	180	6	90	370	7	1
80	-0.05	5	0.8	180	6	90	372	6	1
81	0	5	0.7	180	6	90	374	11	5
82	0.1	5	0.8	180	6	90	376	10	5
83	-0.15	5	0.85	180	6	90	378	9	5
84	0.05	5	0.9	180	6	90	380	11	12
85	-0.05	5	0.8	180	6	90	382	10	12
86	-0.15	5	0.85	180	6	90	384	12	7
87	0	5	0.7	180	6	90	27	1	12
88	0.1	5	0.8	180	6	90	29	6	12
89	0.05	5	0.9	180	6	90	31	1	13
90	0.1	5	0.8	180	6	90	33	7	13
91	-0.05	5	0.8	180	6	90	35	4	1
92	0	5	0.7	180	6	90	37	3	1
93	-0.05	5	0.8	180	6	90	39	2	1
94	0	5	0.7	180	6	90	41	4	5
95	0.1	5	0.8	180	6	90	43	7	5
96	-0.15	5	0.85	180	6	90	45	6	5
97	0.05	5	0.9	180	6	90	47	7	12
98	-0.05	5	0.8	180	6	90	49	9	12
99	-0.15	5	0.85	180	6	90	51	3	13
100	-0.1	5	0.6	180	6	90	53	10	13
101	0.1	5	0.8	180	6	90	55	5	4
102	0	5	0.7	180	6	90	57	6	4
103	0.1	5	0.8	180	6	90	59	7	4
104	0.05	5	0.9	180	6	90	61	5	8
105	0.1	5	0.8	180	6	90	63	6	8
106	-0.05	5	0.8	180	6	90	65	7	8
107	0	5	0.7	180	6	90	67	5	11
108	-0.05	5	0.8	180	6	90	69	9	11
109	0	5	0.7	180	6	90	71	10	11
110	0.1	5	0.8	180	6	90	73	5	12
111	-0.15	5	0.85	180	6	90	75	9	12
112	0.05	5	0.9	180	6	90	77	6	13
113	-0.05	5	0.8	180	6	90	79	5	13
114	-0.15	5	0.85	180	6	90	81	7	1
115	-0.1	5	0.6	180	6	90	83	6	1
116	0.1	5	0.8	180	6	90	85	7	5
117	0	5	0.7	180	6	90	87	6	5
118	0.1	5	0.8	180	6	90	89	6	5
119	0.05	5	0.9	180	6	90	91	11	12
120	0.1	5	0.8	180	6	90	93	10	12
121	-0.05	5	0.8	180	6	90	95	11	1
122	0	5	0.7	180	6	90	97	7	1
123	-0.05	5	0.8	180	6	90	99	6	1
124	0	5	0.7	180	6	90	101	11	5
125	0.1	5	0.8	180	6	90	103	10	5
126	-0.15	5	0.85	180	6	90	105	9	5
127	0.05	5	0.9	180	6	90	107	11	12
128	-0.05	5	0.8	180	6	90	109	10	12
129	-0.15	5	0.85	180	6	90	111	12	7
130	0	5	0.7	180	6	90	325	1	12
131	0.1	5	0.8	180	6	90	327	6	12
132	0.05	5	0.9	180	6	90	329	1	13
133	0.1	5	0.8	180	6	90	331	7	13
134	-0.05	5	0.8	180	6	90	333	4	1
135	0	5	0.7	180	6	90	335	3	1
136	-0.05	5	0.8	180	6	90	337	2	1
137	0	5	0.7	180	6	90	339	4	5
138	0.1	5	0.8	180	6	90	341	7	5
139	-0.15	5	0.85	180	6	90	343	6	5
140	0.05	5	0.9	180	6	90	345	7	12
141	-0.05	5	0.8	180	6	90	347	9	12
142	-0.15	5	0.85	180	6	90	349	3	13
143	-0.1	5	0.6	180	6	90	351	10	13
144	0.1	5	0.8	180	6	90	353	5	4
145	0	5	0.7	180	6	90	355	6	4
146	0.1	5	0.8	180	6	90	357	7	4
147	0.05	5	0.9	180	6	90	359	5	8
148	0.1	5	0.8	180	6	90	361	6	8
149	-0.05	5	0.8	180	6	90	363	7	8
150	0	5	0.7	180	6	90	365	5	11
151	-0.05	5	0.8	180	6	90	367	9	11
152	0	5	0.7	180	6	90	369	10	11
153	0.1	5	0.8	180	6	90	371	5	12
154	-0.15	5	0.85	180	6	90	373	9	12
155	0.05	5	0.9	180	6	90	375	6	13
156	-0.05	5	0.8	180	6	90	377	5	13
157	-0.15	5	0.85	180	6	90	379	7	1
158	-0.1	5	0.6	180	6	90	381	6	1
159	0.1	5	0.8	180	6	90	383	7	5
160	0	5	0.7	180	6	90	385	6	5
161	0.1	5	0.8	180	6	90	387	6	5
162	0.05	5	0.9	180	6	90	389	11	12
163	0.1	5	0.8	180	6	90	391	10	12
164	-0.05	5	0.8	180	6	90	393	11	1
165	0	5	0.7	180	6	90	395	7	1
166	-0.05	5	0.8	180	6	90	397	6	1
167	0	5	0.7	180	6	90	399	11	5
168	0.1	5	0.8	180	6	90	401	10	5
169	-0.15	5	0.85	180	6	90	403	9	5
170	0.05	5	0.9	180	6	90	405	11	12
171	-0.05	5	0.8	180	6	90	407	10	12
172	-0.15	5	0.85	180	6	90	409	12	7
172	-0.15	5	0.85	180	6	90	409	12	7
